"nummer";"type";"route";"bijz"
"100";"ICE (NS International)";"Amsterdam Centraal – Utrecht Centraal – Arnhem – Basel SBB";"Rijdt 1 keer per dag"
"120";"ICE (NS International)";"Amsterdam Centraal – Utrecht Centraal – Arnhem –Frankfurt (Main) Flughafen – Frankfurt (Main) Hbf";"Wordt aangevuld door de serie 100"
"140";"Intercity (NS International/ DB Fernverkehr)";"Amsterdam Centraal – Amersfoort – Deventer – Hengelo –Bad Bentheim – Rheine – Osnabrück Hbf – Hannover Hbf –Berlin Hbf – Berlin Ostbahnhof";"Stopt alternerend te Bünde (Westf) of Bad Oeynhausen"
"400";"CityNightLine";"Amsterdam Centraal – Utrecht Centraal – Arnhem – Zürich HB (– Brig) / München Hbf (– Garmisch-Partenkirchen)";""
"440";"EuroNight";"Amsterdam Centraal – Utrecht Centraal – Arnhem – Praag /Kopenhagen / Minsk";""
"500";"Intercity";"Rotterdam Centraal – Utrecht Centraal – Amersfoort –Zwolle – Groningen";"Vormt tussen Rotterdam Centraal en Zwolle een halfuursdienst met serie 12500. Vormt tussen Zwolle en Groningen een halfuursdienst met serie 700. Stopt tussen Zwolle en Groningen alleen 's morgens vroeg en 's avonds laat op alle stations."
"700";"Intercity";"Den Haag Centraal – Schiphol – Lelystad Centrum – Zwolle– Groningen";"Vormt tussen Den Haag Centraal en Zwolle een halfuursdienst met serie 12700. Vormt tussen Zwolle en Groningen een halfuursdienst met serie 500. Stopt tussen Zwolle en Groningen alleen 's morgens vroeg en 's avonds laat op alle stations. In weekend en 's avonds vaak gecombineerd met serie 2600 tot serie 12600."
"800";"Intercity";"Maastricht – Sittard – Roermond – Eindhoven – 's-Hertogenbosch – Utrecht Centraal – Amsterdam Centraal –Alkmaar – (Schagen)";"'s Avonds en op zondag tot Amsterdam Centraal. Rijdt alleen in de spits van en naar Schagen."
"900";"Intercity direct";"Amsterdam Centraal – Schiphol – Rotterdam Centraal –Breda";"Tussen Schiphol en Rotterdam is een toeslag verschuldigd."
"1000";"Intercity direct";"Amsterdam Centraal – Schiphol – Rotterdam Centraal";"Sinds 7 oktober 2013 tweemaal per dag per richting om treinserie 900 tussen Amsterdam en Rotterdam in de spits te ontlasten. Tussen Schiphol en Rotterdam is een toeslag verschuldigd."
"1400";"Intercity";"Utrecht Centraal – Amsterdam Centraal – Schiphol – Den Haag HS – Rotterdam Centraal";"Nachtnet. De treinserie 21400 voor de trajectverlengingen Rotterdam Centraal – Eindhoven en Utrecht Centraal – Eindhoven rijden uitsluitend in de nachten volgend op vrijdag en zaterdag. In het eerste deel van de nachten volgend op woensdag en donderdag stopt de trein in Gouda in plaats van Delft. Daarnaast worden bussen ingezet op het traject Rotterdam Centraal – Delft – Den Haag HS."
"1452";"Intercity";"Utrecht Centraal – Gouda – Rotterdam Centraal";"Nachtnet. Rijdt van Utrecht Centraal naar Rotterdam Centraal via Gouda, 1x per nacht in de nachten volgend op vrijdag en zaterdag."
"1500";"Intercity";"Enkhuizen – Hoorn – Amsterdam Centraal – Hilversum –Amersfoort – (Deventer)";"Rijdt in de spits (en 1x/2 uur in het dal) van/naar Deventer. Stopt niet in Zaandam"
"1600";"Intercity";"Schiphol – Amersfoort – Deventer – Hengelo – Enschede";""
"1700";"Intercity";"Den Haag Centraal – Utrecht Centraal – Amersfoort –Deventer – Hengelo – Enschede";""
"1900";"Intercity";"Den Haag Centraal – Rotterdam Centraal – Dordrecht –Breda – Eindhoven – Helmond – Deurne – Venlo";""
"2000";"Intercity";"Den Haag Centraal – Gouda – Utrecht Centraal";"Rijdt niet na 21:00."
"2100";"Intercity";"Amsterdam Centraal – Haarlem – Leiden Centraal – Den Haag Centraal";""
"2200";"Intercity";"Amsterdam Centraal – Haarlem – Leiden Centraal – Den Haag HS – Rotterdam Centraal – Dordrecht";""
